Date,Revenue,Profit_Margin,ROA,Inventory_Levels
2023-01-01,524835.71,0.1391,0.0834,198925.22
2023-02-01,493086.78,0.1522,0.0624,246939.31
2023-03-01,532384.43,0.127,0.0832,121407.65
2023-04-01,576151.49,0.1575,0.0761,224657.08
2023-05-01,488292.33,0.138,0.0732,202611.41
2023-06-01,488293.15,0.1442,0.0861,191029.78
2023-07-01,578960.64,0.138,0.0903,202752.82
2023-08-01,538371.74,0.187,0.0893,140372.93
2023-09-01,476526.28,0.1497,0.0716,193409.84
2023-10-01,527128.0,0.1288,0.0769,210713.38
2023-11-01,476829.12,0.1665,0.0833,244336.82
2023-12-01,476713.51,0.1256,0.0898,184451.89
2024-01-01,512098.11,0.1542,0.0752,175745.19
2024-02-01,404335.99,0.1108,0.0781,184947.29
2024-03-01,413754.11,0.1234,0.0689,227462.06
2024-04-01,471885.62,0.1539,0.068,209862.53
2024-05-01,449358.44,0.1648,0.0881,184107.19
2024-06-01,515712.37,0.1534,0.0936,215398.02
2024-07-01,454598.8,0.1477,0.0793,202912.33
2024-08-01,429384.81,0.144,0.09,229059.35
2024-09-01,573282.44,0.1204,0.0836,178938.41
2024-10-01,488711.18,0.1356,0.0735,190170.14
2024-11-01,503376.41,0.1408,0.0836,188236.76
2024-12-01,428762.59,0.1711,0.0954,156094.55
